efa_fy,school_year,school_name,math_percentile,ela_percentile,source_file
35,2024-25,First Lutheran School (Benton),52,45,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,First Lutheran School (Fort Smith),66,67,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Fort Smith Montessori School,48,57,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Friendship Lab School for Dyslexia,22,10,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,FUTURES High School,,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Garrett Memorial Christian School,47,50,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Gospel Light Christian School,58,52,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Grace Christian School,54,33,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Harding Academy,60,57,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Harvest Time Academy,67,65,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Heber Christian School,60,60,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Holy Rosary Catholic School,53,55,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Homeschool,63,68,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Immaculate Conception Catholic School,61,62,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Immaculate Conception School (Fort Smith),51,54,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Immaculate Heart of Mary School,47,46,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Jacksonville Christian Academy,57,61,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Joshua Academy,44,40,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Leapfrog Montessori Forest School,57,38,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Legacy Academy,41,39,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Legacy Christian Academy (Mabelvale),38,40,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Life Way Christian School,63,65,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Little Rock Christian Academy,64,61,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
